stim_time_s,yaw_peak_s,yaw_err_s,pitch_peak_s,pitch_err_s,srt_yaw,srt_pitch
3.0,2.6081348221670804,-0.3918651778329196,3.1797808105872623,0.1797808105872622,-0.3919,0.1798
9.0,8.789057071960297,-0.210942928039703,8.931968569065344,-0.0680314309346563,-0.2109,-0.068
12.0,11.96883788254756,-0.0311621174524407,11.68301488833747,-0.3169851116625306,-0.0312,-0.317
15.0,14.719884201819683,-0.2801157981803168,14.755612076095948,-0.2443879239040516,-0.2801,-0.2444
18.0,18.114032258064515,0.1140322580645154,18.00684863523573,0.0068486352357304,0.114,0.0068
21.0,20.543527708850288,-0.4564722911497121,20.61498345740281,-0.3850165425971887,-0.4565,-0.385
24.0,24.43786600496278,0.4378660049627783,24.223498759305212,0.2234987593052118,0.4379,0.2235
30.0,30.19005376344086,0.1900537634408614,29.725591397849463,-0.2744086021505367,0.1901,-0.2744
33.0,33.26265095119934,0.2626509511993404,33.26265095119934,0.2626509511993404,0.2627,0.2627
36.0,35.62069065343259,-0.3793093465674104,36.085153019023984,0.0851530190239842,-0.3793,0.0852
